Time,TotalRecExp,TotalRecComp,sd,RecType
0,100,100,,VEGFR2
5,,95.495,,VEGFR2
10,,91.162,,VEGFR2
15,,87.022,,VEGFR2
20,,83.07,,VEGFR2
25,,79.298,,VEGFR2
30,87,75.697,2,VEGFR2
35,,72.259,,VEGFR2
40,,68.977,,VEGFR2
45,,65.845,,VEGFR2
50,,62.855,,VEGFR2
55,,60,,VEGFR2
60,60,57.276,2,VEGFR2
65,,54.675,,VEGFR2
70,,52.192,,VEGFR2
75,,49.821,,VEGFR2
80,,47.559,,VEGFR2
85,,45.399,,VEGFR2
90,59,43.337,7,VEGFR2
95,,41.369,,VEGFR2
100,,39.491,,VEGFR2
105,,37.697,,VEGFR2
110,,35.985,,VEGFR2
115,,34.351,,VEGFR2
120,40,32.791,2,VEGFR2
125,,31.302,,VEGFR2
130,,29.88,,VEGFR2
135,,28.524,,VEGFR2
140,,27.228,,VEGFR2
145,,25.992,,VEGFR2
150,,24.811,,VEGFR2
155,,23.685,,VEGFR2
160,,22.609,,VEGFR2
165,,21.582,,VEGFR2
170,,20.602,,VEGFR2
175,,19.667,,VEGFR2
180,,18.773,,VEGFR2
185,,17.921,,VEGFR2
190,,17.107,,VEGFR2
195,,16.33,,VEGFR2
200,,15.589,,VEGFR2
205,,14.881,,VEGFR2
210,,14.205,,VEGFR2
215,,13.56,,VEGFR2
220,,12.944,,VEGFR2
225,,12.356,,VEGFR2
230,,11.795,,VEGFR2
235,,11.259,,VEGFR2
240,9,10.748,7,VEGFR2
0,100,100,0,VEGFR1
5,,93.715,,VEGFR1
10,,87.824,,VEGFR1
15,,82.303,,VEGFR1
20,,77.129,,VEGFR1
25,,72.281,,VEGFR1
30,80,67.737,3,VEGFR1
35,,63.479,,VEGFR1
40,,59.488,,VEGFR1
45,,55.749,,VEGFR1
50,,52.244,,VEGFR1
55,,48.96,,VEGFR1
60,35,45.882,3,VEGFR1
65,,42.998,,VEGFR1
70,,40.295,,VEGFR1
75,,37.762,,VEGFR1
80,,35.388,,VEGFR1
85,,33.163,,VEGFR1
90,29,31.078,2,VEGFR1
95,,29.125,,VEGFR1
100,,27.294,,VEGFR1
105,,25.578,,VEGFR1
110,,23.97,,VEGFR1
115,,22.463,,VEGFR1
120,20,21.051,2,VEGFR1
125,,19.728,,VEGFR1
130,,18.488,,VEGFR1
135,,17.325,,VEGFR1
140,,16.236,,VEGFR1
145,,15.216,,VEGFR1
150,,14.259,,VEGFR1
155,,13.363,,VEGFR1
160,,12.523,,VEGFR1
165,,11.735,,VEGFR1
170,,10.998,,VEGFR1
175,,10.306,,VEGFR1
180,,9.6585,,VEGFR1
185,,9.0513,,VEGFR1
190,,8.4823,,VEGFR1
195,,7.9491,,VEGFR1
200,,7.4494,,VEGFR1
205,,6.9811,,VEGFR1
210,,6.5422,,VEGFR1
215,,6.131,,VEGFR1
220,,5.7455,,VEGFR1
225,,5.3844,,VEGFR1
230,,5.0459,,VEGFR1
235,,4.7287,,VEGFR1
240,15,4.4314,1,VEGFR1
0,100,100,,NRP1
5,,98.809,,NRP1
10,,97.691,,NRP1
15,,96.643,,NRP1
20,,95.66,,NRP1
25,,94.738,,NRP1
30,95,93.874,15,NRP1
35,,93.063,,NRP1
40,,92.303,,NRP1
45,,91.591,,NRP1
50,,90.922,,NRP1
55,,90.296,,NRP1
60,111,89.708,18,NRP1
65,,89.156,,NRP1
70,,88.639,,NRP1
75,,88.154,,NRP1
80,,87.699,,NRP1
85,,87.272,,NRP1
90,104,86.871,19,NRP1
95,,86.495,,NRP1
100,,86.142,,NRP1
105,,85.811,,NRP1
110,,85.5,,NRP1
115,,85.209,,NRP1
120,105,84.935,7,NRP1
125,,84.678,,NRP1
130,,84.436,,NRP1
135,,84.209,,NRP1
140,,83.996,,NRP1
145,,83.796,,NRP1
150,,83.608,,NRP1
155,,83.432,,NRP1
160,,83.265,,NRP1
165,,83.109,,NRP1
170,,82.963,,NRP1
175,,82.825,,NRP1
180,,82.695,,NRP1
185,,82.573,,NRP1
190,,82.458,,NRP1
195,,82.349,,NRP1
200,,82.248,,NRP1
205,,82.152,,NRP1
210,,82.061,,NRP1
215,,81.976,,NRP1
220,,81.896,,NRP1
225,,81.82,,NRP1
230,,81.748,,NRP1
235,,81.681,,NRP1
240,101,81.617,10,NRP1