Parameters,R1total,R1surf,R1int,R1percSurf,R2total,R2surf,R2int,R2percSurf,N1total,N1surf,N1int,N1percSurf
kR1prod,1,1,1,0,0,0,0,0,0,0,0,0
kR1Rab5a,-0.086523,-0.95238,0,-0.86962,0,0,0,0,0,0,0,0
kR1Rab4ato7a,-0.93778,-0.79166,-0.95238,0.15331,0,0,0,0,0,0,0,0
kR1Rab4a,0.035952,0.39573,0,0.35913,0,0,0,0,0,0,0,0
kR1Rab4ato11a,0.044908,0.43552,0.0058753,0.38974,0,0,0,0,0,0,0,0
kR1Rab11a,-0.0050872,0,-0.0055955,0.0050884,0,0,0,0,0,0,0,0
kR2prod,0,0,0,0,1,1,1,0,0,0,0,0
kR2Rab5a,0,0,0,0,-0.483,-0.95238,0,-0.48099,0,0,0,0
kR2Rab4ato7a,0,0,0,0,-0.47485,-0.010784,-0.95238,0.47535,0,0,0,0
kR2Rab4a,0,0,0,0,0.0025499,0.0050279,0,0.0024777,0,0,0,0
kR2Rab4ato11a,0,0,0,0,0.003201,0.0062954,0,0.003094,0,0,0,0
kR2Rab11a,0,0,0,0,0,0,0,0,0,0,0,0
kN1prod,0,0,0,0,0,0,0,0,0.034924,0.034924,0.034923,0
kN1Rab5a,0,0,0,0,0,0,0,0,-0.084966,-0.29111,0.69434,-0.20702
kN1Rab4ato7a,0,0,0,0,0,0,0,0,-0.1085,-0.1085,-0.10851,0
kN1Rab4a,0,0,0,0,0,0,0,0,0.019856,0.068155,-0.16274,0.048251
kN1Rab4ato11a,0,0,0,0,0,0,0,0,0.08524,0.040481,0.25444,-0.044568
kN1Rab11a,0,0,0,0,0,0,0,0,-0.021636,0.17713,-0.77305,0.19898